Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
PUEBLA,PUE.,(C),"RADIO PANZACOLA, S.A.",XEEG,AM,1280,1 -D  0.5 -N,21/09/05,20/09/17,190243,981151,2147,
PUEBLA,PUE.,(C),"EMPRESA RADIODIFUSORA DE PUEBLA XEHR, S.A. DE C.V.",XEHR,AM,1090,   2.5 -D  1 -N,04/07/04,03/07/16,190243,981151,2147,
PUEBLA,PUE.,(C),"OPERADORA DE RADIO DE PUEBLA, S.A. DE C.V.",XEPUE,AM,1210,5 -D  1 -N,04/07/04,03/07/16,190243,981151,2147,
PUEBLA,PUE.,(C),"RADIO PRINCIPAL, S.A. DE C.V.",XEZT,AM,1250,5 -D  0.5 -N,26/10/05,25/10/17,190243,981151,2147,
SAN BERNARDINO TLAXCALANCINGO,PUE.,(C),"RADIO POBLANA, S.A. DE C.V.",XEHIT,AM,1310,5 -D  1 -N,04/07/04,03/07/16,190144,981630,2122,
SAN BERNARDINO TLAXCALANCINGO,PUE.,(C),"RADIO XEZAR, S.A. DE C.V.",XEZAR,AM,920,1 -D  1 -N,06/01/04,05/01/16,190144,981630,2122,
SAN JOSÉ XILOTZINGO,PUE.,(C),"X.E.P.O.P., S.A. DE C.V.",XEPOP,AM,1120,5 -D  0.1 -N,05/04/04,04/04/16,190243,981151,2147,
SANTA MARÍA CORONANGO,PUE.,(C),JOSÉ ASEF HANAN BADRI,XEPA,AM,1010,20 -D  2 -N,04/07/04,03/07/16,190756,981825,2184,
TEHUACÁN,PUE.,(C),"RADIO TEHUACÁN, S.A. DE C.V.",XEGY,AM,1070,2.5 -D  0.25 -N,04/07/04,03/07/16,182750,972335,1633,
TEHUACÁN,PUE.,(C),"AM DE TEHUACÁN, S.A. DE C.V.",XETE,AM,1140,5 -D  1 -N,10/11/10,09/11/20,182750,972335,1633,
XICOTEPEC DE JUÁREZ,PUE.,(C),"RADIODIFUSIÓN DE XICOTEPEC, S.A. DE C.V.",XEVJP,AM,570,5 -D  1 -N,20/07/03,19/07/15,201627,975718,1142,
JALPAN DE SERRA,QRO.,(P),GOBIERNO DEL ESTADO DE QUERÉTARO,XEQJAL,AM,1200,5 -D  N.A. -N,28/02/07,R,211302,992823,756,
QUERÉTARO,QRO.,(P),UNIVERSIDAD AUTÓNOMA DE QUERÉTARO,XEUAQ,AM,580,0.25 -D  0.25 -N,15/11/05,R,203517,1002317,1824,
SAN JUAN DEL RIO,QRO.,(C),"MULTIMEDIOS EN RADIODIFUSIÓN MORALES, S.A. DE C.V.",XEVI,AM,1400,1 -D  1 -N,04/07/04,03/07/16,202320,995947,1917,
CANCÚN,Q.ROO.,(C),"XECCQ-AM, S.A. DE C.V.",XECCQ,AM,630,0.5 -D  0.5 -N,28/11/03,27/11/15,210938,865051,10,
CANCÚN,Q.ROO.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XEYI,AM,580,1 -D  0.25 -N,18/01/10,17/01/20,210938,865051,10,
CHETUMAL,Q.ROO.,(C),"XEQAA-AM, S.A. DE C.V.",XEQAA,AM,560,5 -D  1 -N,04/10/04,03/10/16,183013,881819,10,
CHETUMAL,Q.ROO.,(C),LUIS ALBERTO PAVÍA MENDOZA,XEWO,AM,1020,1 -D  0.25 -N,09/03/10,08/03/20,183013,881819,10,
COZUMEL,Q.ROO.,(C),LUIS ALBERTO PAVÍA MENDOZA,XERB,AM,810,2.5 -D  0.25 -N,02/03/09,01/03/19,203100,865630,1,
FELIPE CARRILLO PUERTO,Q.ROO.,(P),GOBIERNO DEL ESTADO DE QUINTANA ROO,XECPR,AM,660,30 -D  N.A,25/10/00,R,193443,880243,20,
JUAN SARABIA,Q.ROO.,(P),GOBIERNO DEL ESTADO DE QUINTANA ROO,XECTL,AM,860,10 -D  1 -N,25/10/10,24/10/22,183011,882853,20,
PUERTO MORELOS,Q.ROO.,(C),"TRANSMISORA REGIONAL RADIO FORMULA, S.A. DE C.V.",XECAQ,AM,740,20 -D  10 -N,25/07/09,24/07/21,205113,865355,4,
PUERTO MORELOS,Q.ROO.,(C),"ADMINISTRADORA ARCÁNGEL, S.A. DE C.V.",XEQOO,AM,1050,35 -D  2.5 -N,10/11/03,09/11/15,205113,865355,4,
MATEHUALA,S.L.P.,(C),"RADIO MEDIOS MATEHUALA, S.A. DE C.V.",XEIE,AM,1030,5 -D  1 -N,12/08/06,11/08/18,233847,1003840,1577,
